id,date,professor_name_raw,department,course_name,term,comment_text,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,clean_department,clean_comment_text,professor_name,grading_status,attendance_status,clean_tokens_list,simple_label,simple_score,bert_label,bert_score
24,2021-09-05T01:13:55,امیر حسین کردبچه,فیزیک,فیزیک ۱,مهر 97,استاد فوق العاده خوش برخورد هستن,10.0,10.0,8.0,10.0,9.0,10.0,فیزیک,استاد فوق العاده خوش برخورد هستن,امیر حسین کردبچه,آسان,نامشخص,"['استاد', 'فوق\u200cالعاده', 'خوش\u200cبرخورد', 'هستن']",Neutral,0,Positive,0.9600204825401306
25,2021-09-05T01:21:50,محمدرضا زمانی,فیزیک,ترمودینامیک۱- ترمودینامیک۲,مهر 99,"فکر نکنم صرف حضور در کلاس تاثیر مثبت داشته باشه ولی فعالیت خیلی مهمه براشون
جزوشون کامله ولی کتاب مرجع هم معرفی میکنن",10.0,10.0,10.0,5.0,10.0,10.0,فیزیک,فکر نکنم صرف حضور در کلاس تاثیر مثبت داشته باشه ولی فعالیت خیلی مهمه براشون جزوشون کامله ولی کتاب مرجع هم معرفی میکنن,محمدرضا زمانی میمیان,منصفانه,سخت‌گیر,"['نکنم', 'حضور', 'کلاس', 'تاثیر', 'مثبت', 'باشه', 'فعالیت', 'مهمه', 'براشون', 'جزوشون', 'کامله', 'کتاب', 'مرجع', 'معرفی', 'میکنن']",Neutral,0,Positive,0.9153556227684021
28,2021-09-05T05:32:07,زینب موحدی,مهندسی کامپیوتر,مبانی کامپوتر، برنامه نویسی پیشرفته,بهمن 99,ایشان دانش بالایی دارند اما متاسفانه از لحاظ نظم ، مدیریت زمان و دادن تمرین های پوشش دهنده ضعیف بودند و از همه بد تر اینکه اندازه تلاشت بهت نمره نمیده و معمولا همه حتی نفر اول کلاس هم از نمره اش ناراضیه. من خودم به شخصه پیشنهاد نمیکنم.,9.0,9.0,6.0,5.0,5.0,6.0,مهندسی کامپیوتر,ایشان دانش بالایی دارند اما متاسفانه از لحاظ نظم ، مدیریت زمان و دادن تمرین های پوشش دهنده ضعیف بودند و از همه بد تر اینکه اندازه تلاشت بهت نمره نمیده و معمولا همه حتی نفر اول کلاس هم از نمره اش ناراضیه. من خودم به شخصه پیشنهاد نمیکنم.,زینب موحدی,سخت‌گیر,آزاد,"['دانش', 'بالایی', 'نظم', '،', 'مدیریت', 'زمان', 'تمرین\u200cهای', 'پوشش\u200cدهنده', 'ضعیف', 'بد\u200cتر', 'اندازه', 'تلاشت', 'بهت', 'نمره', 'نمیده', 'معمولا', 'نفر', 'کلاس', 'نمره\u200cاش', 'ناراضیه', '.', 'خودم', 'به\u200cشخصه', 'پیشنهاد', 'نمی\u200cکنم', '.']",Negative,-1,Negative,-0.9210753440856934
29,2021-09-05T05:32:28,محمد واحدی,فیزیک,فیزیک ۲,بهمن 99,من پیشنهاد میکنم,8.0,10.0,10.0,9.0,8.0,10.0,فیزیک,من پیشنهاد میکنم,محمد واحدی,منصفانه,آزاد,['پیشنهاد'],Neutral,0,Positive,0.9691367149353027
30,2021-09-05T05:34:06,وصال حکمی,مهندسی کامپیوتر,ریاضیات گسسته,بهمن 99,چیزی اضافه ایی نیست,3.0,10.0,1.0,3.0,7.0,10.0,مهندسی کامپیوتر,چیزی اضافه ایی نیست,وصال حکمی,سخت‌گیر,آزاد,"['اضافه', 'ایی']",Neutral,0,Negative,-0.6018742322921753
31,2021-09-05T05:34:41,حمید صفاری,مکانیک,کارگاه تاسیسات,بهمن 99,در کل کارگاه تأسیسات به صورت مجازی درس ساده‌ای هست و با گوش کردن سر کلاس میشه راحت نمرۀ بالا گرفت، امتحان پایان‌ترم نداشت و صرفاً ۴ تا کوییز بود و یک ارائه. فکر کنم حضور و غیاب هم حدود ۴ نمره داشت. ضمناً اگر ارائه خوب باشه نمرۀ مثبت داره و می‌تونه کوییزها رو جبران کنه. نمرۀ نهایی هم خیلی دقیق محاسبه میشه و تا ۲ نمره هم جای شیفت داره,8.0,9.0,7.0,9.0,8.0,10.0,مکانیک,در کل کارگاه تاسیسات به صورت مجازی درس ساده ای هست و با گوش کردن سر کلاس میشه راحت نمرۀ بالا گرفت، امتحان پایان ترم نداشت و صرفا ۴ تا کوییز بود و یک ارائه. فکر کنم حضور و غیاب هم حدود ۴ نمره داشت. ضمنا اگر ارائه خوب باشه نمرۀ مثبت داره و می تونه کوییزها رو جبران کنه. نمرۀ نهایی هم خیلی دقیق محاسبه میشه و تا ۲ نمره هم جای شیفت داره,حمید صفاری نطنزی,منصفانه,سخت‌گیر,"['کارگاه', 'تأسیسات', 'صورت', 'مجازی', 'درس', 'ساده\u200cای', 'هست', 'گوش', 'سر', 'کلاس', 'میشه', 'راحت', 'نمرۀ', '،', 'امتحان', 'پایان\u200cترم', 'نداشت', 'صرفا', '۴', 'کوییز', 'ارائه', '.', 'حضور', 'غیاب', '۴', 'نمره', '.', 'ضمنا', 'ارائه', 'باشه', 'نمرۀ', 'مثبت', 'داره', 'می\u200cتونه', 'کوییزها', 'جبران', 'کنه', '.', 'نمرۀ', 'نهایی', 'دقیق', 'محاسبه', 'میشه', '۲', 'نمره', 'شیفت', 'داره']",Neutral,0,Positive,0.5450652241706848
32,2021-09-05T05:59:50,مهدی نویدبخش,مکانیک,یاتاقان و روغنکاری,مهر 99,درس دو واحدیه، امتحانش دو قسمت داره، قسمت مسائلش از لحاظ حجم محاسبات واقعا زیاده و باید قبلش زیاد تمرین کرده باشین. یک ارائه هم داره که حدود ۶-۷ نمره داشته باشه با این حال میانگین نمرات حدود ۱۶-۱۷ بود,9.0,7.0,6.0,7.0,6.0,8.0,مکانیک,درس دو واحدیه، امتحانش دو قسمت داره، قسمت مسائلش از لحاظ حجم محاسبات واقعا زیاده و باید قبلش زیاد تمرین کرده باشین. یک ارائه هم داره که حدود ۶-۷ نمره داشته باشه با این حال میانگین نمرات حدود ۱۶-۱۷ بود,مهدی نویدبخش,آسان,نامشخص,"['درس', 'واحدیه', '،', 'امتحانش', 'قسمت', 'داره', '،', 'قسمت', 'مسائلش', 'حجم', 'محاسبات', 'واقعا', 'زیاده', 'قبلش', 'تمرین', 'باشین', '.', 'ارائه', 'داره', '۶', '-', '۷', 'نمره', 'باشه', 'میانگین', 'نمرات', '۱۶', '-', '۱۷']",Neutral,0,Neutral,0.0
33,2021-09-05T06:27:48,دکتر رامین هاشمی,مکانیک,مکانیک محیط و آنالیز شکل دهی,مهر 99,خوبه کلا،,9.0,9.0,9.0,7.0,8.0,10.0,مکانیک,خوبه کلا،,رامین هاشمی,آسان,آزاد,"['خوبه', 'کلا', '،']",Neutral,0,Positive,0.7962428331375122
34,2021-09-05T06:36:41,روح الله طالبی توتی,مکانیک,ارتعاشات مکانیکی,بهمن 97,حضوری داشتم، در کل روند تدریس و برگزاری کلاس خوبه، ظاهرا نمرۀ خوب هم میشه گرفت و میانگین نمرات دکتر طالبی از بقیه اساتید بالاتره، کتاب مرجع معرفی می کنن ولی همون مطالب سر کلاس کفایت میکنه,9.0,8.0,6.0,6.0,9.0,9.0,مکانیک,حضوری داشتم، در کل روند تدریس و برگزاری کلاس خوبه، ظاهرا نمرۀ خوب هم میشه گرفت و میانگین نمرات دکتر طالبی از بقیه اساتید بالاتره، کتاب مرجع معرفی می کنن ولی همون مطالب سر کلاس کفایت میکنه,روح الله طالبی توتی,آسان,آزاد,"['حضوری', 'داشتم', '،', 'تدریس', 'برگزاری', 'کلاس', 'خوبه', '،', 'ظاهرا', 'نمرۀ', 'میشه', 'میانگین', 'نمرات', 'دکتر', 'طالبی', 'بقیه', 'اساتید', 'بالاتره', '،', 'کتاب', 'مرجع', 'معرفی', 'می\u200cکنن', 'همون', 'مطالب', 'سر', 'کلاس', 'کفایت', 'میکنه']",Neutral,0,Positive,0.7380728721618652
35,2021-09-05T10:11:27,ساسان آسیایی,مکانیک,دینامیک ماشین,بهمن 99,چیزی اضافه ایی نیست,7.0,7.0,5.0,7.0,8.0,9.0,مکانیک,چیزی اضافه ایی نیست,ساسان اسیایی,منصفانه,آزاد,"['اضافه', 'ایی']",Neutral,0,Negative,-0.6018742322921753
36,2021-09-05T11:49:01,علی پارسا,ریاضی,1-ریاضی ۱ 2-ریاضی ۲,بهمن 99,خیلی خوبه,10.0,10.0,9.0,10.0,10.0,10.0,ریاضی,خیلی خوبه,علی پارسا ریاضی دو,سخت‌گیر,آزاد,['خوبه'],Neutral,0,Positive,0.949367880821228
37,2021-09-05T11:58:43,خالقی,مهندسی صنایع,کارگاه تخصصی,بهمن 99,چیزی اضافه ایی نیست,10.0,8.0,8.0,8.0,8.0,9.0,مهندسی صنایع,چیزی اضافه ایی نیست,خالقی,آسان,سخت‌گیر,"['اضافه', 'ایی']",Neutral,0,Negative,-0.6018742322921753
38,2021-09-05T12:50:06,محبوبه مولوی عربشاهی,ریاضی,محاسبات عددی,بهمن 99,"ارفاق بستگی به فعالیت و حضور مفید دانشجو داره، سر کلاس سوالای ساده ای میپرسن، آخر هر جلسه تمرینای ساده ای میزارن که با خوندن جزوه میشه بهشون پاسخ داد، حین تدریس از اکسل استفاده میکنن و یاد میدن و سر امتحان هم اکسل و متلب و ..‌. قبول میکنن ولی اجباری نیست.
فعال بودن شمارو تو کلاس میتونن کنار اسمتون ببینن، اگه صفحه کلاس رو ببینید، زرد و بعد قرمز میشه اما اگه صفحه لپتاپ یا گوشیتون سر کلاس باشه سبز میشه.اگه حضور مفید داشته باشید، هم خیلی خوب درسو متوجه میشید و واستون ساده میشه و هم استاد هم ارفاق خوبی میکنه.",10.0,10.0,8.0,9.0,9.0,10.0,ریاضی,ارفاق بستگی به فعالیت و حضور مفید دانشجو داره، سر کلاس سوالای ساده ای میپرسن، اخر هر جلسه تمرینای ساده ای میزارن که با خوندن جزوه میشه بهشون پاسخ داد، حین تدریس از اکسل استفاده میکنن و یاد میدن و سر امتحان هم اکسل و متلب و .. . قبول میکنن ولی اجباری نیست. فعال بودن شمارو تو کلاس میتونن کنار اسمتون ببینن، اگه صفحه کلاس رو ببینید، زرد و بعد قرمز میشه اما اگه صفحه لپتاپ یا گوشیتون سر کلاس باشه سبز میشه.اگه حضور مفید داشته باشید، هم خیلی خوب درسو متوجه میشید و واستون ساده میشه و هم استاد هم ارفاق خوبی میکنه.,سیده محبوبه مولوی عربشاهی,آسان,سخت‌گیر,"['ارفاق', 'بستگی', 'فعالیت', 'حضور', 'مفید', 'دانشجو', 'داره', '،', 'سر', 'کلاس', 'سوالای', 'ساده\u200cای', 'میپرسن', '،', 'آخر', 'جلسه', 'تمرینای', 'ساده\u200cای', 'میزارن', 'خوندن', 'جزوه', 'میشه', 'بهشون', 'پاسخ', '،', 'حین', 'تدریس', 'اکسل', 'استفاده', 'میکنن', 'یاد', 'میدن', 'سر', 'امتحان', 'اکسل', 'متلب', '..', '\u200c', '.', 'قبول', 'میکنن', 'اجباری', '.', 'فعال', 'شمارو', 'کلاس', 'میتونن', 'اسمتون', 'ببینن', '،', 'اگه', 'صفحه', 'کلاس', 'ببینید', '،', 'زرد', 'قرمز', 'میشه', 'اگه', 'صفحه', 'لپتاپ', 'گوشیتون', 'سر', 'کلاس', 'باشه', 'سبز', 'میشه', '.', 'اگه', 'حضور', 'مفید', 'داشته_باشید', '،', 'درسو', 'متوجه', 'میشید', 'واستون', 'ساده', 'میشه', 'استاد', 'ارفاق', 'میکنه', '.']",Positive,2,Positive,0.845936119556427
39,2021-09-05T12:56:15,محمد اخلاقی,مکانیک,سیالات ۱,مهر 99,"حضور غیاب بسیار مهم است و بین 5 تا 8 نمره را شامل میشود. 
مابقی نمره شامل امتحان پایانترم و میانترم است که در دوران مجازی به شدت وقت کم میدادند برای امتحان، اما باز هم میشد مقدار قابل قبولی نوشت(سوالات یکی یکی نمایش داده میشه😊) 
حدودا 200تا تمرین و تحقیق میدهند که با یک سرچ اونارو پیدا میکنید. 
اما همه چی بستگی داره که نماینده کلاس و تی ای های استاد خوب باشند که در این صورت اصلا سخت گیری نمیکنند و نمره تمارین رو کامل میدهند. 
آخر ترم هم باید داخل یک سی دی تمام تمارین و امتحانا و.... کلا هرچیزی رو که انجام دادید براش پست کنید یا حضوری ببرید.",8.0,6.0,6.0,6.0,4.0,4.0,مکانیک,حضور غیاب بسیار مهم است و بین 5 تا 8 نمره را شامل میشود. مابقی نمره شامل امتحان پایانترم و میانترم است که در دوران مجازی به شدت وقت کم میدادند برای امتحان، اما باز هم میشد مقدار قابل قبولی نوشت(سوالات یکی یکی نمایش داده میشه😊) حدودا 200تا تمرین و تحقیق میدهند که با یک سرچ اونارو پیدا میکنید. اما همه چی بستگی داره که نماینده کلاس و تی ای های استاد خوب باشند که در این صورت اصلا سخت گیری نمیکنند و نمره تمارین رو کامل میدهند. اخر ترم هم باید داخل یک سی دی تمام تمارین و امتحانا و.... کلا هرچیزی رو که انجام دادید براش پست کنید یا حضوری ببرید.,محمد اخلاقی,منصفانه,سخت‌گیر,"['حضور', 'غیاب', '۵', '۸', 'نمره', '.', 'مابقی', 'نمره', 'امتحان', 'پایانترم', 'میانترم', 'دوران', 'مجازی', 'شدت', 'وقت', 'می\u200cدادند', 'امتحان', '،', 'مقدار', 'قبولی', 'نوشت', '(', 'سوالات', 'نمایش', 'میشه😊', ')', 'حدودا', '۲۰۰', 'تمرین', 'تحقیق', 'سرچ', 'اونارو', 'می\u200cکنید', '.', 'چی', 'بستگی', 'داره', 'نماینده', 'کلاس', 'تی\u200cای\u200cهای', 'استاد', 'صورت', 'اصلا', 'سخت\u200cگیری', 'نمی\u200cکنند', 'نمره', 'تمارین', '.', 'آخر', 'ترم', 'داخل', 'سی\u200cدی', 'تمارین', 'امتحانا', '…', '.', 'کلا', 'هرچیزی', 'انجام', 'دادید', 'براش', 'پست', 'حضوری', 'ببرید', '.']",Neutral,0,Positive,0.7372548580169678
40,2021-09-05T12:57:00,سمانه قندهاریون,مکانیک,ترمودینانیک۲,بهمن 98,چیزی اضافه ایی نیست,10.0,9.0,9.0,9.0,8.0,10.0,مکانیک,چیزی اضافه ایی نیست,سمانه قندهاریون,منصفانه,سخت‌گیر,"['اضافه', 'ایی']",Neutral,0,Negative,-0.6018742322921753
41,2021-09-05T13:24:28,مسعود اسم خانی,مکانیک,مدیریت و کنترل پروژه,بهمن 99,"استاد در طول ترم هر هفته تمریناتی میدهند که با اکسل یا ورد انجام میشه و درنهایت پروژه اصلی که با MSP انجام میشه و آموزش این نرم افزار رو قرار میده براتون، بعدش باید مشابه کارهای آموزش رو روی پروژتون اعمال کنید و درواقع امتحان شما همینه و امتحان پایانترمی نداره
خیلی هم خوب نمره میده استاد
حضور غیاب هم میکنه بعضی وقتا ولی بعید میدونم خیلی تاثیر داشته باشه، حضور غیاب میکنه که یهو وسط کلاس خواست دانشجو همکاری کنه و دانشجو جواب سوالاش رو بده یهو غیبش نزنه و بزنه بیرون از کلاس",10.0,10.0,10.0,10.0,9.0,9.0,مکانیک,استاد در طول ترم هر هفته تمریناتی میدهند که با اکسل یا ورد انجام میشه و درنهایت پروژه اصلی که با MSP انجام میشه و اموزش این نرم افزار رو قرار میده براتون، بعدش باید مشابه کارهای اموزش رو روی پروژتون اعمال کنید و درواقع امتحان شما همینه و امتحان پایانترمی نداره خیلی هم خوب نمره میده استاد حضور غیاب هم میکنه بعضی وقتا ولی بعید میدونم خیلی تاثیر داشته باشه، حضور غیاب میکنه که یهو وسط کلاس خواست دانشجو همکاری کنه و دانشجو جواب سوالاش رو بده یهو غیبش نزنه و بزنه بیرون از کلاس,مسعود اسم خانی,آسان,آزاد,"['استاد', 'ترم', 'هفته', 'تمریناتی', 'اکسل', 'ورد', 'انجام', 'میشه', 'درنهایت', 'پروژه', 'اصلی', 'MSP', 'انجام', 'میشه', 'آموزش', 'نرم\u200cافزار', 'قرار', 'میده', 'براتون', '،', 'بعدش', 'مشابه', 'کارهای', 'آموزش', 'پروژتون', 'اعمال', 'درواقع', 'امتحان', 'همینه', 'امتحان', 'پایانترمی', 'نداره', 'نمره', 'میده', 'استاد', 'حضور', 'غیاب', 'میکنه', 'وقتا', 'بعید', 'میدونم', 'تاثیر', 'باشه', '،', 'حضور', 'غیاب', 'میکنه', 'یهو', 'وسط', 'کلاس', 'خواست', 'دانشجو', 'همکاری', 'کنه', 'دانشجو', 'جواب', 'سوالاش', 'بده', 'یهو', 'غیبش', 'نزنه', 'بزنه', 'کلاس']",Neutral,0,Positive,0.7600975036621094
42,2021-09-05T13:29:26,سید حسن هاشم آبادی,مهندسی شیمی,‌مکانیک سیالات ١,مهر 99,اول کلاس پرسش دارن معمولا و نمره داره، دو تا پروژه هم دارن,9.0,9.0,8.0,8.0,5.0,10.0,مهندسی شیمی,اول کلاس پرسش دارن معمولا و نمره داره، دو تا پروژه هم دارن,سید حسن هاشم ابادی,آسان,سخت‌گیر,"['کلاس', 'پرسش', 'دارن', 'معمولا', 'نمره', 'داره', '،', 'پروژه', 'دارن']",Neutral,0,Positive,0.5708986520767212
43,2021-09-05T13:37:34,سجاد صادقی,ریاضی,ریاضی عمومی۲,بهمن 99,"نمره دهی منصفانه. 
تدریس بسیار مسئولانه.
همراهی با کلاس و تقلب نکردن خیلی براشون اهمیت داره.
برای پاس شدن راهی نداری جز اینکه درس رو به خوبی یاد بگیری و اگه با کلاس پیش بری این کار اتفاقا لذت‌بخش هم‌ خواهدبود.",10.0,10.0,10.0,10.0,10.0,10.0,ریاضی,نمره دهی منصفانه. تدریس بسیار مسئولانه. همراهی با کلاس و تقلب نکردن خیلی براشون اهمیت داره. برای پاس شدن راهی نداری جز اینکه درس رو به خوبی یاد بگیری و اگه با کلاس پیش بری این کار اتفاقا لذت بخش هم خواهدبود.,سجاد صادقی,منصفانه,سخت‌گیر,"['نمره', 'دهی', 'منصفانه', '.', 'تدریس', 'مسئولانه', '.', 'همراهی', 'کلاس', 'تقلب', 'نکردن', 'براشون', 'اهمیت', 'داره', '.', 'پاس', 'راهی', 'نداری', 'درس', 'یاد', 'بگیری', 'اگه', 'کلاس', 'بری', 'کار', 'اتفاقا', 'لذت\u200cبخش', 'خواهدبود', '.']",Neutral,0,Positive,0.9815793037414551
44,2021-09-05T13:48:57,سجاد صادقی,ریاضی,ریاضی ۱ - ریاضی ۲,بهمن 97,"زمانی که حضوری بود با استاد درس رو داشتم، درس رو از روی pdf کتاب میداد، چون جزوه نمی‌نوشتیم ممکن بود مقداری به مشکل بخوریم سر فهمیدن درس، ولی خب معمولا بچه ها از جزوه استاد پارسا یا کتاب های دیگه درس میخونن و اونا کافی هستش واسه امتحان، برگه امتحان رو هم اجازه میداد ببینیم بعد از دادن و نمره ها و اعتراض کنیم اون زمان که حضوری بود، من که چک کردم منصفانه تصحیح کرده بود برای من رو. 
حضور غیاب میکنه و معمولا تاثیر مثبت میده اگر باشی. 
اگر امتحانتو خیلی بد داده باشی و معلوم باشه درسو یاد نگرفتی پاس نمیکنه، باید از خودت بخش امتحان حداقل 8نمره جمع کنی که پاس کنه",9.0,10.0,8.0,9.0,9.0,9.0,ریاضی,زمانی که حضوری بود با استاد درس رو داشتم، درس رو از روی pdf کتاب میداد، چون جزوه نمی نوشتیم ممکن بود مقداری به مشکل بخوریم سر فهمیدن درس، ولی خب معمولا بچه ها از جزوه استاد پارسا یا کتاب های دیگه درس میخونن و اونا کافی هستش واسه امتحان، برگه امتحان رو هم اجازه میداد ببینیم بعد از دادن و نمره ها و اعتراض کنیم اون زمان که حضوری بود، من که چک کردم منصفانه تصحیح کرده بود برای من رو. حضور غیاب میکنه و معمولا تاثیر مثبت میده اگر باشی. اگر امتحانتو خیلی بد داده باشی و معلوم باشه درسو یاد نگرفتی پاس نمیکنه، باید از خودت بخش امتحان حداقل 8نمره جمع کنی که پاس کنه,سجاد صادقی,منصفانه,سخت‌گیر,"['زمانی', 'حضوری', 'استاد', 'درس', 'داشتم', '،', 'درس', 'pdf', 'کتاب', 'می\u200cداد', '،', 'جزوه', 'نمی\u200cنوشتیم', 'مقداری', 'مشکل', 'بخوریم', 'سر', 'فهمیدن', 'درس', '،', 'خب', 'معمولا', 'بچه\u200cها', 'جزوه', 'استاد', 'پارسا', 'کتاب\u200cهای', 'دیگه', 'درس', 'میخونن', 'اونا', 'هستش', 'واسه', 'امتحان', '،', 'برگه', 'امتحان', 'اجازه', 'می\u200cداد', 'ببینیم', 'نمره\u200cها', 'اعتراض', 'اون', 'زمان', 'حضوری', '،', 'چک', 'منصفانه', 'تصحیح', '.', 'حضور', 'غیاب', 'میکنه', 'معمولا', 'تاثیر', 'مثبت', 'میده', 'باشی', '.', 'امتحانتو', 'بد', 'داده_باشی', 'معلوم', 'باشه', 'درسو', 'یاد', 'نگرفتی', 'پاس', 'نمیکنه', '،', 'خودت', 'امتحان', '۸', 'نمره', 'کنی', 'پاس', 'کنه']",Negative,-1,Positive,0.7625253200531006
