id,date,professor_name_raw,department,course_name,grading_status_raw,attendance_status_raw,term,comment_text,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6
24,2021-09-05T01:13:55,امیر حسین کردبچه,فیزیک,فیزیک ۱,دست باز و با ارفاق,یادم نمیاد,مهر 97,استاد فوق العاده خوش برخورد هستن,10.0,10.0,8.0,10.0,9.0,10.0
25,2021-09-05T01:21:50,محمدرضا زمانی,فیزیک,ترمودینامیک۱- ترمودینامیک۲,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,مهر 99,"فکر نکنم صرف حضور در کلاس تاثیر مثبت داشته باشه ولی فعالیت خیلی مهمه براشون
جزوشون کامله ولی کتاب مرجع هم معرفی میکنن",10.0,10.0,10.0,5.0,10.0,10.0
28,2021-09-05T05:32:07,زینب موحدی,مهندسی کامپیوتر,مبانی کامپوتر، برنامه نویسی پیشرفته,نمره خوبی نمیشه ازشون گرفت,حضور و غیاب نمی کند,بهمن 99,ایشان دانش بالایی دارند اما متاسفانه از لحاظ نظم ، مدیریت زمان و دادن تمرین های پوشش دهنده ضعیف بودند و از همه بد تر اینکه اندازه تلاشت بهت نمره نمیده و معمولا همه حتی نفر اول کلاس هم از نمره اش ناراضیه. من خودم به شخصه پیشنهاد نمیکنم.,9.0,9.0,6.0,5.0,5.0,6.0
29,2021-09-05T05:32:28,محمد واحدی,فیزیک,فیزیک ۲,منصفانه و هرچی خودت بگیری,حضور مهم نیست اما تاثیر مثبت دارد,بهمن 99,من پیشنهاد میکنم,8.0,10.0,10.0,9.0,8.0,10.0
30,2021-09-05T05:34:06,وصال حکمی,مهندسی کامپیوتر,ریاضیات گسسته,نمره خوبی نمیشه ازشون گرفت,حضور و غیاب نمی کند,بهمن 99,چیزی اضافه ایی نیست,3.0,10.0,1.0,3.0,7.0,10.0
31,2021-09-05T05:34:41,حمید صفاری,مکانیک,کارگاه تاسیسات,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,بهمن 99,در کل کارگاه تأسیسات به صورت مجازی درس ساده‌ای هست و با گوش کردن سر کلاس میشه راحت نمرۀ بالا گرفت، امتحان پایان‌ترم نداشت و صرفاً ۴ تا کوییز بود و یک ارائه. فکر کنم حضور و غیاب هم حدود ۴ نمره داشت. ضمناً اگر ارائه خوب باشه نمرۀ مثبت داره و می‌تونه کوییزها رو جبران کنه. نمرۀ نهایی هم خیلی دقیق محاسبه میشه و تا ۲ نمره هم جای شیفت داره,8.0,9.0,7.0,9.0,8.0,10.0
32,2021-09-05T05:59:50,مهدی نویدبخش,مکانیک,یاتاقان و روغنکاری,دست باز و با ارفاق,یادم نمیاد,مهر 99,درس دو واحدیه، امتحانش دو قسمت داره، قسمت مسائلش از لحاظ حجم محاسبات واقعا زیاده و باید قبلش زیاد تمرین کرده باشین. یک ارائه هم داره که حدود ۶-۷ نمره داشته باشه با این حال میانگین نمرات حدود ۱۶-۱۷ بود,9.0,7.0,6.0,7.0,6.0,8.0
33,2021-09-05T06:27:48,دکتر رامین هاشمی,مکانیک,مکانیک محیط و آنالیز شکل دهی,دست باز و با ارفاق,حضور مهم نیست اما تاثیر مثبت دارد,مهر 99,خوبه کلا،,9.0,9.0,9.0,7.0,8.0,10.0
34,2021-09-05T06:36:41,روح الله طالبی توتی,مکانیک,ارتعاشات مکانیکی,دست باز و با ارفاق,حضور مهم نیست اما تاثیر مثبت دارد,بهمن 97,حضوری داشتم، در کل روند تدریس و برگزاری کلاس خوبه، ظاهرا نمرۀ خوب هم میشه گرفت و میانگین نمرات دکتر طالبی از بقیه اساتید بالاتره، کتاب مرجع معرفی می کنن ولی همون مطالب سر کلاس کفایت میکنه,9.0,8.0,6.0,6.0,9.0,9.0
35,2021-09-05T10:11:27,ساسان آسیایی,مکانیک,دینامیک ماشین,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,بهمن 99,چیزی اضافه ایی نیست,7.0,7.0,5.0,7.0,8.0,9.0
36,2021-09-05T11:49:01,علی پارسا,ریاضی,1-ریاضی ۱ 2-ریاضی ۲,نمره خوبی نمیشه ازشون گرفت,حضور و غیاب نمی کند,بهمن 99,خیلی خوبه,10.0,10.0,9.0,10.0,10.0,10.0
37,2021-09-05T11:58:43,خالقی,مهندسی صنایع,کارگاه تخصصی,دست باز و با ارفاق,حضور مهم است و تاثیر مستقیم دارد,بهمن 99,چیزی اضافه ایی نیست,10.0,8.0,8.0,8.0,8.0,9.0
38,2021-09-05T12:50:06,محبوبه مولوی عربشاهی,ریاضی,محاسبات عددی,دست باز و با ارفاق,حضور مهم است و تاثیر مستقیم دارد,بهمن 99,"ارفاق بستگی به فعالیت و حضور مفید دانشجو داره، سر کلاس سوالای ساده ای میپرسن، آخر هر جلسه تمرینای ساده ای میزارن که با خوندن جزوه میشه بهشون پاسخ داد، حین تدریس از اکسل استفاده میکنن و یاد میدن و سر امتحان هم اکسل و متلب و ..‌. قبول میکنن ولی اجباری نیست.
فعال بودن شمارو تو کلاس میتونن کنار اسمتون ببینن، اگه صفحه کلاس رو ببینید، زرد و بعد قرمز میشه اما اگه صفحه لپتاپ یا گوشیتون سر کلاس باشه سبز میشه.اگه حضور مفید داشته باشید، هم خیلی خوب درسو متوجه میشید و واستون ساده میشه و هم استاد هم ارفاق خوبی میکنه.",10.0,10.0,8.0,9.0,9.0,10.0
39,2021-09-05T12:56:15,محمد اخلاقی,مکانیک,سیالات ۱,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,مهر 99,"حضور غیاب بسیار مهم است و بین 5 تا 8 نمره را شامل میشود. 
مابقی نمره شامل امتحان پایانترم و میانترم است که در دوران مجازی به شدت وقت کم میدادند برای امتحان، اما باز هم میشد مقدار قابل قبولی نوشت(سوالات یکی یکی نمایش داده میشه😊) 
حدودا 200تا تمرین و تحقیق میدهند که با یک سرچ اونارو پیدا میکنید. 
اما همه چی بستگی داره که نماینده کلاس و تی ای های استاد خوب باشند که در این صورت اصلا سخت گیری نمیکنند و نمره تمارین رو کامل میدهند. 
آخر ترم هم باید داخل یک سی دی تمام تمارین و امتحانا و.... کلا هرچیزی رو که انجام دادید براش پست کنید یا حضوری ببرید.",8.0,6.0,6.0,6.0,4.0,4.0
40,2021-09-05T12:57:00,سمانه قندهاریون,مکانیک,ترمودینانیک۲,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,بهمن 98,چیزی اضافه ایی نیست,10.0,9.0,9.0,9.0,8.0,10.0
41,2021-09-05T13:24:28,مسعود اسم خانی,مکانیک,مدیریت و کنترل پروژه,دست باز و با ارفاق,حضور مهم نیست اما تاثیر مثبت دارد,بهمن 99,"استاد در طول ترم هر هفته تمریناتی میدهند که با اکسل یا ورد انجام میشه و درنهایت پروژه اصلی که با MSP انجام میشه و آموزش این نرم افزار رو قرار میده براتون، بعدش باید مشابه کارهای آموزش رو روی پروژتون اعمال کنید و درواقع امتحان شما همینه و امتحان پایانترمی نداره
خیلی هم خوب نمره میده استاد
حضور غیاب هم میکنه بعضی وقتا ولی بعید میدونم خیلی تاثیر داشته باشه، حضور غیاب میکنه که یهو وسط کلاس خواست دانشجو همکاری کنه و دانشجو جواب سوالاش رو بده یهو غیبش نزنه و بزنه بیرون از کلاس",10.0,10.0,10.0,10.0,9.0,9.0
42,2021-09-05T13:29:26,سید حسن هاشم آبادی,مهندسی شیمی,‌مکانیک سیالات ١,دست باز و با ارفاق,حضور مهم است و تاثیر مستقیم دارد,مهر 99,اول کلاس پرسش دارن معمولا و نمره داره، دو تا پروژه هم دارن,9.0,9.0,8.0,8.0,5.0,10.0
43,2021-09-05T13:37:34,سجاد صادقی,ریاضی,ریاضی عمومی۲,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,بهمن 99,"نمره دهی منصفانه. 
تدریس بسیار مسئولانه.
همراهی با کلاس و تقلب نکردن خیلی براشون اهمیت داره.
برای پاس شدن راهی نداری جز اینکه درس رو به خوبی یاد بگیری و اگه با کلاس پیش بری این کار اتفاقا لذت‌بخش هم‌ خواهدبود.",10.0,10.0,10.0,10.0,10.0,10.0
44,2021-09-05T13:48:57,سجاد صادقی,ریاضی,ریاضی ۱ - ریاضی ۲,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,بهمن 97,"زمانی که حضوری بود با استاد درس رو داشتم، درس رو از روی pdf کتاب میداد، چون جزوه نمی‌نوشتیم ممکن بود مقداری به مشکل بخوریم سر فهمیدن درس، ولی خب معمولا بچه ها از جزوه استاد پارسا یا کتاب های دیگه درس میخونن و اونا کافی هستش واسه امتحان، برگه امتحان رو هم اجازه میداد ببینیم بعد از دادن و نمره ها و اعتراض کنیم اون زمان که حضوری بود، من که چک کردم منصفانه تصحیح کرده بود برای من رو. 
حضور غیاب میکنه و معمولا تاثیر مثبت میده اگر باشی. 
اگر امتحانتو خیلی بد داده باشی و معلوم باشه درسو یاد نگرفتی پاس نمیکنه، باید از خودت بخش امتحان حداقل 8نمره جمع کنی که پاس کنه",9.0,10.0,8.0,9.0,9.0,9.0
45,2021-09-05T14:40:39,منادی,معارف,اخلاق اسلامی,نمره خوبی نمیشه ازشون گرفت,حضور مهم است و تاثیر مستقیم دارد,مهر 97,"فعلا که این استاد نیست تو این دانشگاه که خداروشکر، ولی واسه آیندگان میگم که خدای نکرده اگر یه روز برگشت هیچوقت با این استاد برندارید. 
باتوجه به حجم فعالیت هایی که باید انجام بدی نمره خوبی نمیده",4.0,4.0,7.0,5.0,5.0,5.0
46,2021-09-05T14:41:05,علی محمد تاج الدین,معارف,تاریخ تحلیلی صدر اسلام,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,مهر 99,"۵نمره میانترم
۱۰نمره پایانترم
۳نمره نهاد
۲نمره فعالیت های کلاسی،مثلا جواب پرسش هایی که میگه رو براش بفرستیم از طریق راه ارتباطی ای که میگه یا ارائه بدیم سرکلاس
۱نمره اضافه حضورغیاب داره

در کل استاد خوبیه برا این درس",9.0,10.0,10.0,9.0,9.0,9.0
47,2021-09-05T14:41:15,غلامحسین یاری,ریاضی,معادلات دیفرانسیل- آمار و احتمالات مهندسی,منصفانه و هرچی خودت بگیری,حضور مهم نیست اما تاثیر مثبت دارد,بهمن 99,چیزی اضافه ایی نیست,9.0,8.0,5.0,10.0,8.0,10.0
48,2021-09-05T14:42:28,اسماعیل اسفندیاری,معارف,انقلاب اسلامی ایران,دست باز و با ارفاق,حضور مهم است و تاثیر مستقیم دارد,بهمن 99,چیزی اضافه ایی نیست,8.0,10.0,10.0,7.0,10.0,10.0
50,2021-09-05T14:48:35,محمد امینی فارسانی,معارف,زبان انگلیسی,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,بهمن 99,فعالیت کلاسی و صحبت کردن سر کلاس براشون خیلی اهمیت داره,10.0,10.0,10.0,10.0,10.0,10.0
51,2021-09-05T15:05:11,محسن نصیری,معارف,فارسی,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,مهر 99,"در مورد نمره، اگه زرنگ باشین و سر کلاس اکثر poll هایی که میزارن رو درست جواب بدین، خیلی راحت میتونین نمره بالا و حتی 20 بگیرین.
اما اگه میخواهید سر کلاس توجه و حضور چندان نداشته باشید، باید برای امتحان ترم آماده باشید. که از اونم نمره دلچسبی نمیشه کسب کرد.
نمره تون رو هم ابتدا بر حسب poll هایی که جواب دادید حساب میکنن، و اینکه اگر راضی نبودید باید امتحان بدید اونم تستی.
یه دونه ارائه کتاب هم سر کلاس باید داشته باشین که البته نمره اضافه داره، ولی کار از محکم کاری عیب نمیکنه.",9.0,10.0,8.0,10.0,10.0,10.0
52,2021-09-05T15:06:15,رحمان فرنوش,ریاضی,آمار و احتمال مهندسی,نمره خوبی نمیشه ازشون گرفت,حضور و غیاب نمی کند,بهمن 99,چیزی اضافه ایی نیست,6.0,6.0,5.0,8.0,7.0,10.0
53,2021-09-05T15:09:58,الهام فتاحی,ریاضی,ریاضی ۲,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,بهمن 99,چیزی اضافه ایی نیست,9.0,8.0,10.0,10.0,7.0,10.0
54,2021-09-05T15:12:57,رضا سعادتی,ریاضی,ریاضی 2,نمره خوبی نمیشه ازشون گرفت,حضور مهم است و تاثیر مستقیم دارد,بهمن 99,"در طول ترم ۳-۴ تا آزمون گرفته میشه که جمع اونها نمره پایانی هستش
سوالات آزمون ها از سطح کلاس خیلی بالاتر بودن و همینطور تایم آزمون به نسبت خیلی کم
یه کلاس رفع اشکال هم با TAدارن",9.0,9.0,9.0,9.0,8.0,9.0
55,2021-09-05T15:17:17,احمد فروغ,ریاضی,ریاضی مهندسی,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,بهمن 98,در مجموع سخت گیر نیست و در زمینه تدریس هم حرفی برای گفتن نداره. نمره هم شاید با کمی ارفاق بسته به نظر خودش,7.0,8.0,5.0,8.0,9.0,10.0
56,2021-09-05T15:18:30,وحید بروجردیان,مهندسی عمران,استاتیک,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,بهمن 99,"یه کلاس رفع اشکال با TA هستش که خیلی جامع و کامله 
مطالب مهم یکبار دیگه مطرح میشه و حل تمرین اضافی دارند
نمره پایانی به واسطه امتحانات ترم و میانترم و دو تا پروژه که آخر ترم داده میشه مشخص میشه
هر هفته باید تمارین تحویلی به TA ارسال شوند",10.0,10.0,9.0,9.0,10.0,10.0
57,2021-09-05T15:23:19,حسین سجادی,معارف,اندیشه 2,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,بهمن 99,چیزی اضافه ایی نیست,10.0,10.0,10.0,10.0,9.0,10.0
58,2021-09-05T15:28:07,مهدی اسدی,معارف,انقلاب اسلامی ایران,دست باز و با ارفاق,حضور مهم نیست اما تاثیر مثبت دارد,مهر 99,در بدترین حالت ممکن که باشی 19 میده بهت.,10.0,10.0,10.0,10.0,10.0,10.0
59,2021-09-05T15:35:41,مجید ایلچی قزاآن,مهندسی عمران,استاتیک,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,بهمن 99,سطح تدیس‌شون بالاهست و خیلی خوب درس میدن به همون نسبت امتحانشونم سخته. سخت میشه نمره خوب ازش گرفت باید واقعا بخونی,10.0,10.0,10.0,10.0,10.0,10.0
60,2021-09-05T15:36:01,سیاوش کاظمی راد,مکانیک,استاتیک,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,بهمن ۹۹,استاد بسیار خوش برخوردی هستند و اگه همراه کلاس پیش برید کامل درسو متوجه میشید و نمره خوبی میگیرید تی اِی هم دارند که تقریبا هر دو هفته یک تمرین ۴ یا ۵ سوالی میده و خیلی خوب با بچه ها راه میاد,10.0,10.0,10.0,10.0,10.0,10.0
61,2021-09-05T15:36:34,فرناز برزین پور,مهندسی صنایع,تحقیق در عملیات ۱,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,بهمن 99,"خانم دکتر برزین تقریبا هر هفته تکلیف میدن و غیر از امتحان پایان ترم هم دو تا امتحان میان ترم در طول ترم میگیرن ، و حدودا یک هفته قبل از امتحان پایان ترم کتبی هم امتحان پایان ترم شفاهی میگرن . خوشبختانه ایشون یک پروژه مثبتی آسون هم در آخر ترم تعریف میکنن که دانشجویانی که به نمره نیاز داشته باشن میتونن انجام بدن و به راحتی نمرشو بگیرن .
در کل اگر کسی تلاش کافی داشته باشه و فعالیت های کلاسی رو انجام بده نمره خوبی می‌تونه بگیره از ایشون",10.0,10.0,10.0,10.0,10.0,10.0
62,2021-09-05T15:37:05,جلیل رشیدی نیا,ریاضی,معادلات دیفرانسیل,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,بهمن 99,"سر کلاس از روی جزوه دست‌نویس خودشون تدریس میکنند که جزوه رو در دسترس دانشجو قرار میدن
در طول ترم ۴-۵تا آزمون گرفته میشن + ۳ نمره تمارین تحویلی
تمارین هم بیشتر مهمه که سر تایم ارسال بشن تا اینکه جواب نهاییشون درست باشه",9.0,8.0,7.0,8.0,7.0,10.0
63,2021-09-05T15:37:21,سمیه سعیدی نژاد,ریاضی,ریاضی۱,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,بهمن 99,چیزی اضافه ایی نیست,10.0,10.0,10.0,10.0,10.0,10.0
64,2021-09-05T15:41:33,حمید کریمی,معارف,اندیشه اسلامی,دست باز و با ارفاق,حضور مهم است و تاثیر مستقیم دارد,بهمن 98,چیزی اضافه ایی نیست,8.0,9.0,10.0,10.0,7.0,10.0
65,2021-09-05T15:41:49,اسداله آقاجانی,ریاضی,معادلات دیفرانسیل,منصفانه و هرچی خودت بگیری,حضور مهم نیست اما تاثیر مثبت دارد,بهمن 99,کلا TA های خوبی دارند و حتی اگر سر کلاس هم متوجه نشی در کلاس ta ها به طور کامل متوجه میشی از بابت نمره هم نگران نباش,8.0,10.0,10.0,9.0,10.0,10.0
68,2021-09-05T15:50:18,رضوانه امراللهی,فیزیک,فیزیک1,دست باز و با ارفاق,حضور و غیاب نمی کند,مهر 99,چیزی اضافه ایی نیست,10.0,10.0,10.0,10.0,10.0,10.0
69,2021-09-05T15:58:41,نوراله هادی,معارف,زبان انگلیسی,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,بهمن 99,"اول کلاس حضور غیاب داره.
وسط کلاس صدا نمیزنند کسیو.
کل کتاب English for the students of engineering. رو بین بچه ها تقسیم می‌کنند. و فقط بچها ارائه میدهند.
برای یادگیری زبان مناسب نیست.
یه میان ترم و ترم دارند که تستیه تو اکسل وارد میکنین و باید ایمیل کنین
با کمک میشه نمره خوبی گرفت",8.0,4.0,6.0,7.0,8.0,10.0
70,2021-09-05T15:59:31,سمانه مشهدی,ریاضی,ترکیبیات,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,مهر 99,"نمره منصفانه میده
از روی جزوه درس میده که هر جلسه آپلود میکنه برا همه
جلسات منظم سر ساعت برگزار میشه
حدود 5 تا امتحان میگیره که حذفی هستند
فعالیت در کلاس هم نمره داره
در ابتدا دو تا منبع اصلی هم اعلام می‌کنند.",9.0,9.0,8.0,10.0,9.0,10.0
71,2021-09-05T16:10:58,محمود رضا قاسمی,معارف,اندیشه 1- اندیشه2,دست باز و با ارفاق,حضور مهم است و تاثیر مستقیم دارد,بهمن 99,بارم بندی استاد در ترم های مختلف اندکی تفاوت داره اما در دو ترمی که باهاشون داشتم 3 نمره به ارائه تحقیق در قالب کرسی آزاد اندیشی داشتیم که باید یک فیلم یا رمان یا کتابی رو میخوندیم و به همراه خلاصه و نقد ازش مینوشتیم. حضور غیاب 1.5 نمره داره و به ازای هر غیبت 0.5 نمره کسر میشه. 1.5 نمره آزمون poll دارن که بعضی جلسات آخر وقت از مطالب گفته شده در همان جلسه یه سوال چندگزینه ای طرح میکنن و باید جواب بدیم. تعداد آزمونها متغیره. 3 نمره هم در خصوص ارائه خلاصه از 6 وبینار بود که در طول ترم برگزار میشد. مابقی به پایانترم اختصاص داشت.,9.0,10.0,9.0,9.0,9.0,10.0
72,2021-09-05T16:11:06,رضا سعادتی,ریاضی,ریاضی 1,دست باز و با ارفاق,یادم نمیاد,مهر 99,"سواد خوبی دارند
مطالب را خوب انتقال میدن
نمره هم خوب میدن
تکالیف TA هم خیلی در نمره شما تاثیر گذار هست",8.0,10.0,8.0,8.0,9.0,10.0
73,2021-09-05T16:11:23,محمدهادی علائیان,ریاضی,مبانی برنامه نویسی - برنامه نویسی پیشرفته,دست باز و با ارفاق,حضور و غیاب نمی کند,مهر 99,"نمره خوب میده
تدریس ضعیف هست 
امتحان ها کمی خارج از مطالب تدریس شده است
سطح پروژه درخواستی متوسط",6.0,7.0,6.0,7.0,10.0,10.0
74,2021-09-05T16:11:31,محسن بابامرادی,فیزیک,فیزیک1,دست باز و با ارفاق,حضور و غیاب نمی کند,بهمن 99,"نمره دهی خوبه
خوب درس میده
اخلاق خوب
حضور غیاب مهم نیست
2 نمره فعالیت کلاسی داره ک اگر غائب باشید با تکلیف پایان ترم و امتحان شفاهی قابل جبران هست",10.0,9.0,8.0,8.0,10.0,10.0
75,2021-09-05T16:12:05,سمانه قندهاریون,مکانیک,ترمودینامیک۲,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,مهر 96,چیزی اضافه ایی نیست,9.0,10.0,10.0,10.0,10.0,8.0
76,2021-09-05T16:12:31,حبیب شاه نظری,مهندسی عمران,زمین شناسی مهندسی,تقریبا میشه گفت به هرکس هرنمره ای دلش بخواد میده,حضور و غیاب نمی کند,بهمن 99,"خودش تدریس نمیکنه یکی از دانشجوهای دکتری درس میده. کوییز نداره فقط میانترم و پایان ترم.‌
تمرین و پروژه هم نداره",8.0,8.0,8.0,3.0,6.0,8.0
77,2021-09-05T16:17:56,سجاد صادقی,ریاضی,ریاضی 2,منصفانه و هرچی خودت بگیری,یادم نمیاد,بهمن 99,"سطح تدریس بالا هست و تمام مطالب تدریس میشه
خوش اخلاق و تعامل مناسب با دانشجو دارن 
امتحانات کمی سخت هس
روی تقلب حساس هستند
پیشنهادم این هست که اگر قصد یادگیری و درس خوندن دارید با ایشون کلاس بردارید در غیر این صورت برید سراغ گزینه های دیگه",9.0,10.0,8.0,8.0,10.0,10.0
78,2021-09-05T16:19:04,مهدی نجفی خواه,ریاضی,مبانی علوم ریاضی,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,بهمن 99,"نمره دهی مناسب
تکالیف زیاد",9.0,10.0,8.0,9.0,9.0,9.0
79,2021-09-05T16:26:11,حمید صفاری,مکانیک,ترمودینامیک ۱,منصفانه و هرچی خودت بگیری,حضور مهم نیست اما تاثیر مثبت دارد,مهر 98,"حضوری داشتم این درسو
کلاس سر صبح بود و استاد خیلی آروم و یکنواخت درس میداد به خاطر همین خیلی خوابت میگرفت سرکلاس
معمولا هم خیلیا کلاس نمیرفتن،در طول ترم یک یا دوبار حضور غیاب میکنه که اگر حضور داشته باشی تاثیر مثبت داره
در کل استاد خوش اخلاقی هست و نمره خودت رو میده با مقداری ارفاق ولی اگر میخوای درس یاد بگیری توصیه میشه با سایر اساتید برداری",9.0,9.0,7.0,8.0,8.0,9.0
80,2021-09-05T16:27:01,علیرضا مصلح تهرانی,ریاضی,ریاضی عمومی2,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,بهمن 99,سر کلاس فقط و فقط حل سوال و رفع اشکاله و قبل از هر جلسه فیلم درسی رو در گروه تلگرامی ارسال میکنن که حجماش بعضا زیاده. اگه فیلم رو نبینی حضورت سر کلاس بی فایدس. نمونه سوال رو سر کلاس حل میکنه و این برا میانترم و پایانترم مفیده.بعضا تمرین میده با مهلت کافی.نمره کلاسی و تمرینات 2 نمره داره(هرچند معلوم نشد چقدر گرفتیم) ومابقی میانترم وپایانترمه.برا امتحانش کتاب فرامرزی کافیه البته ناگفته نماند که سوالات امتحانش متوسط رو به بالاس و بعضا اشتباه هم داره. نمره هم با شیفتی که ممکنه بده شاید معقول میشه.,10.0,9.0,10.0,7.0,9.0,10.0
81,2021-09-05T16:58:37,منوچهر خاصی,ریاضی,محاسبات عددی - معادلات دیفرانسیل,دست باز و با ارفاق,حضور مهم نیست اما تاثیر مثبت دارد,بهمن 97,"هم مجازی با ایشون داشتم هم حضوری ،در هردو حالت خیلی خوب درس میدادند ،البته حضوری بهتر بود.
یک سری تمرینات میدن که نمره کمی داره 
حضور نمره مثبت داره
اصل کار میانترم و پایانترم هست.
البته محاسبات عددی ، میانترم نداشت .",10.0,9.0,10.0,9.0,8.0,9.0
